id,title,identifier,score_all,name,description,onet_competency
11,Data Scientist,15-1111.00,0.9164274447392922,Computer and Information Research Scientists,"difficult with career advancement, however it offers competitive salary. Management wants you to succeed, coaching sessions are given. Good place to work at.","['Work Values | Recognition | Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
12,Data Scientist,15-1111.00,0.9133987255765283,Computer and Information Research Scientists,I do not want to comment on this; it was a very small tenure and I do not have much to say for this. Its a big company with lot of potential. But one would need more time to understand.,"['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
13,Jr. Data Science Developer,15-1111.00,0.8880679537790862,Computer and Information Research Scientists,"Senior Manager micro management along with unfounded complaints/concerns as well as no recognition for jobs well done created unnecessary stress and a negative working environment for the team. Review of daily reporting, work loads, staffing support requirements and efficiency suggestions were communicated on an ongoing basis however; ignored/disregarded. Prejudice, biased behaviours, favouritism and inaccurate/incomplete annual assessments were conducted which resulted in low to no annual increases and bonus'.","['Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.']"
14,Data Scientist,15-1111.00,0.8750288935158106,Computer and Information Research Scientists,Working at BMO is safe and stable unless you are incompetent to a degree where your work is dangerous or you are a criminal. Other than that there isn't much to working there.,"['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
15,Data scientist (summer intern),15-2041.00,0.8317739836068883,Statisticians,I benefit from working in a small branch within a smaller community. Because of this I enjoy having repeat clients on a regular basis and that makes for a day filled with warm happy greetings given to clients as well as received. BMO welcomes all staff to bring new ideas and options to the table and they embrace everyone’s opinion. They are respectful and understanding of limited individuals and embrace all differences. I thoroughly enjoy my job thanks to the clients and I am eager to face the day to day challenges that come with it.,"['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
16,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists,"The work itself was great. I love helping people with their banking needs. However, the management there is awful and there is no room for advancement like they tell you in the interview. The management would make you feel dumb for suggesting an idea, or degrade you and your opinion. It is very stressful working under the management there, you are also constantly being listening in on and micromanaged. Looks good on the resume though!","['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.']"
17,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists,"it is a fast paced company, nice to work with new technology and friendly co-workers, management is easy to deal with, want to come back and work again.","['Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
18,"Manager of Data Science, RACE21 - Vancouver",15-1111.00,0.9024205839415222,Computer and Information Research Scientists,"Average. It's a typical bank industry.

I have learned a lot in my past 11 years experience.

This company used to be very attractive to me, especially during my internship.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.']"
19,Data Scientist,15-1111.00,0.9147192140316064,Computer and Information Research Scientists,Good culture and fast moving. Design is very stable and colleagues are working hard. Culture is very people focused and lots of opportunities go learn and grow.,"['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
20,"Lead Educator, Data Science",15-1111.00,0.8246349298089208,Computer and Information Research Scientists,"BMO is great place to work, excellent benefits and great managers and upper management. I highly recommend working for this institution. Work life balance is reasonible.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.']"
21,Jr. Data Science Developer,15-1111.00,0.8880679537790862,Computer and Information Research Scientists,"Relaxed and happy people. collaborative and fun loving, with flexible time.
workplace culture is top notch,great team mates in general.there is a work life balance too.","['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
22,Data Scientist,15-1111.00,0.8806427489923435,Computer and Information Research Scientists,Not a bad job but can get boring easily. Management is nice and laid back culture. Focus on sales and policy to much. Not to many growth opportunities.,"['Work Values | Recognition | Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
23,Data Scientist - FIFA,15-1111.00,0.8530353107170993,Computer and Information Research Scientists,A great organization to work for. Positive approach to work with a great spirit of teamwork and collaboration. Organization encouraged a work-life balance.,"['Work Values | Independence | Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.']"
24,Applied Scientist,15-1111.00,0.8446327936499589,Computer and Information Research Scientists,"I worked in BMO for around 6 years. Devops Ci tools Team 4 years. SCM for the Edora system for 2 ears. I learned a lot with the dynamic
and efficient professional team. Management and leadership were great coming from manager/director. A welcoming environment was created and collaboration was being embraced.","['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Recognition | Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
25,Senior Data Scientist AI@Unity,15-1111.00,0.8848689066268349,Computer and Information Research Scientists,"Managers telling you to lie to customers so that they will leave, NO chance for advancement, horrible pay, micro management. I worked here for over 4 years, no advancement, hardly ever given a ""good job!"" From management even though customers have given me great reviews.","['Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
26,Mine Planning Engineer,15-1199.02,0.8007356831936462,Computer Systems Engineers/Architects,Pretty good place to work. Good benefits. Good place to start in financial services field. Co-workers are great and make the atmosphere fun and a welcoming place to be.,"['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
27,Human Resources Administrator,15-1141.00,0.7789597931149099,Database Administrators,I worked in the model validation group for about two (2) years. Work was very laid-back but interesting and stimulating. I learned a lot as a quantitative finance professional during my first ever job. Management and leadership were great coming from manager/director. A welcoming environment was created and collaboration was being embraced.,"['Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Recognition | Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.']"
28,"Associate Director, Engineering Admissions",19-4061.00,0.8405509995852258,Social Science Research Assistants,"I was treated unfairly and the management training program was poorly executed, morale was low and bullying were present, During my time there we lost 3 managers and two Regional Vice Presidents. I did not feel like a valued employee. I did however receive customer commendations.","['Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Recognition | Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.']"
29,Data Center Operations Engineer,15-1121.00,0.8476567114671293,Computer Systems Analysts,"Would recommend this place for professional work. Flexible working arrangements, dedicated staff, professional and respectful. No current mass layoff that I am aware off","['Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
30,Software Engineer Level 3,15-1133.00,0.8600166214797822,"Software Developers, Systems Software","Difficult place to work, at least in my personal experience. Unreasonable work demands, unsupportive managers and, at times, aggressive work environment.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Independence | Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.']"
31,DATA SCIENTIST,15-1111.00,0.8733206562774684,Computer and Information Research Scientists,This place is good for individuals who want to get exposure to life insurance industry. The overall work pace is not fast and people get time for their projects. Employees are also encouraged to make improvements to the current systems.,"['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.']"
32,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists,"Yes, it has been a pleasure. I grew from that company. It was amazing. I was mostly mobile so it was my own entrepreneurial business. The atmosphere was great.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
33,Big Data Operations Specialist,15-1121.00,0.8682365235027729,Computer Systems Analysts,"The position use to be stressful and non well paid.
However, I learned a lot with some of my colleagues and had a overall good professional experience.","['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
34,Senior Data Scientist,15-1111.00,0.8443986897364005,Computer and Information Research Scientists,"Like any other job with responsibility and accountability, had its own merits and demerits. Enjoyed working in a decent work atmosphere.People were friendly.","['Work Values | Independence | Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
35,"Director, Data Science Initiatives",15-1111.00,0.8657747214752037,Computer and Information Research Scientists,hardest part of the job is keeping up with work load. Support from management and tools to get the job done are not always useful or helpful. There is constantly a lack of support from team leads.,"['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
46,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists,This is a good job for anybody who wants an introduction into the professional world. You deal with clients constantly and are learning how to interact professionally in the business world.,"['Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
47,Business Intelligence Analyst,15-1199.08,0.8663985408978038,Business Intelligence Analysts,"Great place to start a career, I started out of university and was there over 20 years. Significant workforce reductions over the last couple of years have resulted in less than ideal atmosphere in some areas. Like any large company, can also be very political.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
48,Lead - Human Resource Data Scientist,15-1111.00,0.7388327569091138,Computer and Information Research Scientists,"The vetting team is pretty old-fashioned, and like all banks, it's pretty dead in the vetting team. nobody talks except the credit teams. They are on the phone all the time. Better get used to the silence if you want to work in the validation teams across banks.

you will learn A LOT IF YOU TRY HARD, and if you want to progress from validation to development team, but you need to ASK FOR YOUR OWN BIG PROJECTS. if you don't try, you will get small projects that nobody wants to do until you leave voluntarily.

Don't be afraid to have a chat with someone who can help you out.","['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Independence | Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.']"
49,Data Scientist,15-1111.00,0.8466228726243358,Computer and Information Research Scientists,"I actually enjoyed my position until I was forced out by an individual who threatened my job. Once that happened, I went to Management but got no support. The brokerage world is a terrible environment.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
50,Associate Data Scientist,15-1111.00,0.8720690809667371,Computer and Information Research Scientists,"Poor , they did not even supply a desk, was expected to stand or use a turned over file cabinet at 1 branch, they did not keep to their career plan they promised, did not admit to me even working there when I gave them as a year work reference,","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
51,Data Scientist I,15-1111.00,0.8846822801821487,Computer and Information Research Scientists,"Great workplace, co workers, managers. The hiring process took two weeks to be processed, it is usually an online interview first through a virtual portal and then once you are selected you go through an in person interview at a different branch. It was actually very nice the entire process.","['Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.']"
52,"Data Scientist, AI@Unity",15-1111.00,0.8764307613317291,Computer and Information Research Scientists,"At BMO, co-workers are nice and very helpful. Stress is under control to achieve your daily routine work. I like the fact that there is zero sales. Managers are awesome and always ready to assist.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
53,Data Scientist,15-1111.00,0.8477331058869199,Computer and Information Research Scientists,Not a bad job but can get boring easily. Management is nice and laid back culture. Focus on sales and policy to much. Not to many growth opportunities.,"['Work Values | Recognition | Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
54,Data Scientist,15-1111.00,0.9164274447392922,Computer and Information Research Scientists,My overall experience was extremely poor. I was not given a chance to prove myself or capabilities. There was no collaboration rather dictation. The BM was a very poor communicator and was rewarded by getting a promotion. Typical day was one of stress and zero support. BM was a poor leader and shouldn't have been promoted rather they should have been reprimanded. He was a bully and lacked sympathy for others.,"['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Recognition | Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.']"
